Prefix,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,Word10,Word11,Word12,Word13,Word14,Word15
abandonar,abandonado,abandonar,abandono,,,,,,,,,,,,
abalanzar,abalanzo,abalanzar,,,,,,,,,,,,,
abrazar,abraz,abrazab,abrazadit,abrazam,abrazar,abrazat,,,,,,,,,
aburrir,aburr,aburri,aburridisim,aburrir,aburriri,aburris,,,,,,,,,
acordar,acord,acordais,acordar,acordat,,,,,,,,,,,
acostar,acost,acostar,acostat,,,,,,,,,,,,
acostumbrar,acostumbr,acostumbrar,acostumbrart,,,,,,,,,,,,
adver,advers,adversari,,,,,,,,,,,,,
advertir,advert,advertent,adverti,advertir,advertirt,,,,,,,,,,
agarrar,agarr,agarradit,agarral,agarrandot,agarrar,agarrat,agarro,agarron,agarrot,,,,,,
agradar,agrad,agradar,,,,,,,,,,,,,
agradecer,agradec,agradecer,agradeci,,,,,,,,,,,,
alcanzar,alcanc,alcanz,alcanzam,alcanzar,,,,,,,,,,,
andar,andar,andareir,andari,andariam,andarivel,,,,,,,,,,
angel,angel,angelical,angelin,angelit,angeloz,,,,,,,,,,
aparecer,aparec,aparecer,apareceri,apareci,aparent,aparezc,,,,,,,,,
aprender,aprend,aprender,aprendi,aprendiz,aprendizaj,,,,,,,,,,
apretar,apret,apretadisim,apretadit,apretandot,apretar,apretari,apreton,apretuj,,,,,,,
arrancar,arranc,arrancar,arrancari,arranqu,arranquel,,,,,,,,,,
arrepentir,arrepent,arrepenti,arrepentir,arrepentiri,arrepient,arrepinti,,,,,,,,,
ascend,ascend,ascendent,ascendi,ascens,ascensor,,,,,,,,,,
astros,astrolog,astrologi,astronaut,astronomi,astros,,,,,,,,,,
australi,australi,australian,,,,,,,,,,,,,
austria,austri,austriac,,,,,,,,,,,,,
avergonzar,avergonc,avergonz,avergonzar,averguenc,averguencer,averguenz,,,,,,,,,
bautizar,bautic,bautism,bautismal,bautiz,bautizar,,,,,,,,,,
blanco,blanqu,blanqueabam,blanquicelest,blanquiguald,blanquit,,,,,,,,,,
boludez,bolud,bolude,boludec,boludez,boludin,boludit,boludon,,,,,,,,
borracho,borrach,borracher,borrachin,borrachit,,,,,,,,,,,
buscar,buscab,buscador,buscal,buscam,buscandom,buscar,buscart,buscast,,,,,,,
cabeza,cabez,cabezadit,cabezadur,cabezafresc,cabezaz,cabezon,,,,,,,,,
calentar,calent,calentar,calentart,calentit,calentur,,,,,,,,,,
calma,calmal,calmant,calmar,calmarl,calmat,,,,,,,,,,
campo,campechan,camper,campesin,campestr,,,,,,,,,,,
cansar,cansadisim,cansador,cansanci,cansar,cansari,cansariam,,,,,,,,,
cantar,cantant,cantar,cantari,cantautor,,,,,,,,,,,
catalan,catalan,catalanis,catalun,cataluny,,,,,,,,,,,
central,centr,central,centraliz,centrar,centric,,,,,,,,,,
charla,charl,charlal,charlat,charlatan,charli,charlit,,,,,,,,,
chupar,chupador,chupal,chupam,chupapij,chupar,chupari,chuparmel,chupart,,,,,,,
cocinar,cocin,cocinabam,cocinar,cocinel,cociner,,,,,,,,,,
comentar,coment,comentar,comentari,,,,,,,,,,,,
comenzar,comenc,comenz,comenzab,comenzari,,,,,,,,,,,
comer,comer,comereir,comeri,comert,,,,,,,,,,,
comercial,comerci,comercial,comercializ,,,,,,,,,,,,
compadecer,compadec,compadecer,compadeci,,,,,,,,,,,,
companer,compadr,compadrit,companer,companerit,,,,,,,,,,,
compartir,compart,comparti,compartir,,,,,,,,,,,,
comprar,comprab,comprador,compram,comprar,comprari,comprart,comprat,compravent,compre,,,,,,
comprender,comprend,comprender,comprendi,comprens,comprension,compresion,,,,,,,,,
comprometer,compromet,comprometer,comprometi,compromis,,,,,,,,,,,
comunicar,comunic,comunicab,comunicar,,,,,,,,,,,,
confundir,confucion,confund,confundi,confundir,confus,confusion,,,,,,,,,
congelar,congel,congelandot,congelar,congelarn,,,,,,,,,,,
conmover,conmov,conmovedor,conmover,conmovi,,,,,,,,,,,
